node_id,in_degree,out_degree,total_degree,undirected_degree
663,20,20,40,20
664,164,164,328,164
665,27,27,54,27
666,163,163,326,163
667,44,44,88,44
668,57,57,114,57
669,17,17,34,17
670,66,66,132,66
671,6,6,12,6
672,205,205,410,205
673,67,67,134,67
674,156,156,312,156
675,116,116,232,116
676,255,255,510,255
677,130,130,260,130
678,196,196,392,196
679,9,9,18,9
680,32,32,64,32
681,143,143,286,143
682,19,19,38,19
684,144,144,288,144
685,103,103,206,103
686,154,154,308,154
687,90,90,180,90
688,117,117,234,117
689,8,8,16,8
690,18,18,36,18
691,48,48,96,48
692,182,182,364,182
693,11,11,22,11
694,252,252,504,252
695,18,18,36,18
696,45,45,90,45
698,6,6,12,6
699,21,21,42,21
700,222,222,444,222
701,5,5,10,5
702,5,5,10,5
703,58,58,116,58
704,71,71,142,71
705,17,17,34,17
706,23,23,46,23
707,118,118,236,118
708,31,31,62,31
709,29,29,58,29
710,8,8,16,8
711,41,41,82,41
712,96,96,192,96
713,10,10,20,10
714,174,174,348,174
715,109,109,218,109
716,202,202,404,202
718,10,10,20,10
719,112,112,224,112
720,24,24,48,24
721,32,32,64,32
723,203,203,406,203
724,90,90,180,90
726,60,60,120,60
727,47,47,94,47
729,21,21,42,21
730,72,72,144,72
731,11,11,22,11
732,27,27,54,27
733,22,22,44,22
734,553,553,1106,553
735,55,55,110,55
736,110,110,220,110
737,24,24,48,24
738,6,6,12,6
739,21,21,42,21
740,7,7,14,7
741,35,35,70,35
742,45,45,90,45
743,14,14,28,14
744,78,78,156,78
745,106,106,212,106
746,11,11,22,11
747,19,19,38,19
749,50,50,100,50
750,6,6,12,6
751,66,66,132,66
752,74,74,148,74
753,45,45,90,45
754,46,46,92,46
755,17,17,34,17
756,26,26,52,26
757,6,6,12,6
758,47,47,94,47
759,12,12,24,12
760,26,26,52,26
761,6,6,12,6
762,112,112,224,112
763,5,5,10,5
764,39,39,78,39
765,10,10,20,10
766,58,58,116,58
767,11,11,22,11
768,42,42,84,42
769,59,59,118,59
770,78,78,156,78
771,107,107,214,107
772,101,101,202,101
773,84,84,168,84
774,22,22,44,22
775,15,15,30,15
776,23,23,46,23
777,6,6,12,6
778,36,36,72,36
779,104,104,208,104
